content,date,img,source,summary,title,url
"PUNE: Tata Communications is seeing increased demand for its connected workplace solutions as more factories resume operations.“The initial interest has been from the manufacturing sector , since work-from-home is not an option for many and the allied companies need to restart operations as soon as possible,” said Alok Bardiya , head – Internet of Things (business unit), Tata Communications.He said the company expects demand to pick up from the services sector soon. “Over the last two months, there has been an increased interest in our connected worker solutions….there was a fair amount of understanding on connected worker solutions earlier as well, but the crisis has definitely accentuated the awareness of the solution and need for worker safety,” Bardiya said.According to Bardiya, demand for the company’s IoT business existed even before the Covid-19 outbreak , but the crisis has now accelerated implementation and deployment. “In the past year, we laid the groundwork and have the capabilities to cater to enterprises that were previously looking for 100 to 200 devices, but currently looking beyond thousands of devices to transform their business, he said. “The growth in demand comes as enterprises understand how IoT can impact their overall supply chain.”Bardiya said he expects demand for IoT-based solutions to grow exponentially, with 10-15 million people in mid- and large-size enterprises expected to benefit from connected solutions. The company is also starting to see demand for enabling IoT for facility and vehicle tracking to facilitate remote monitoring and control.IoT-based solutions offer end-to-end solution from sensors, networks, cloud and analytics, with the main offering being the connected worker solution. The solutions that are already available include a safety watch and a safepass card, which allow alerts between the employees and the supervisor. For instance, if the number of employees in a given space exceeds the permitted limit, it will trigger alerts.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-77077185,imgsize-344252,width-800,height-434,overlay-etcio/tata-communications-sees-demand-for-iot-solutions-rise-as-factories-resume-operations.jpg",cio_etc_iot,"PUNE: Tata Communications is seeing increased demand for its connected workplace solutions as more factories resume operations.“The initial interest has been from the manufacturing sector , since work-from-home is not an option for many and the allied companies need to restart operations as soon as possible,” said Alok Bardiya , head – Internet of Things (business unit), Tata Communications.He said the company expects demand to pick up from the services sector soon. “Over the last two months, there has been an increased interest in our connected worker solutions….there was a fair amount of understanding on connected worker solutions earlier as well, but the crisis has definitely accentuated the awareness of the solution and need for worker safety,” Bardiya said.According to Bardiya, demand for the company’s IoT business existed even before the Covid-19 outbreak , but the crisis has now accelerated implementation and deployment.","Tata Communications sees demand for IoT solutions rise as factories resume operations, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/77077185?utm_source=RSS&utm_medium=ETRSS
"New Delhi: Global automation solutions provider Siemens launched digital solutions for post-COVID-19 workplaces with an aim to ensure social distancing and other safety measures.The company said firms are facing new challenges as they resume normal operations affected by the COVID-19 pandemic. As part of their preparation for the new normal, they must consider additional dimensions of employee safety and measures that address physical distancing requirements.""Siemens introduces digital solutions for resilient workplaces to adapt to new normal. This includes IoT solutions which support adherence to social distancing and contact tracing guidelines, body temperature detection integrated with access control, indoor air quality optimization and secured remote monitoring of a building's systems. It will enhance safety and security of occupants and visitors and create efficient workspaces based on occupancy and use of amenities,"" it said.The 'Enlighted IoT Platform' is a sensor-based space utilization solution that allows to better plan the available space inside buildings.Siveillance Thermal Shield solution measures the body temperature of a person seeking to access a building and integrates the results into the video and access systems of the company, which can be integrated into the workflow of the corporate security solutions.Remote Connectivity and Data Driven Services provide secure connectivity and support systems in managing critical infrastructures to ensure business continuity.""The development of these solutions for the new normal supports our creating environments that care approach,"" Robert Demann, Head of Smart Infrastructure Siemens Limited , said.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-76763292,imgsize-49330,width-800,height-434,overlay-etcio/siemens-launches-digital-solutions-for-workplaces.jpg",cio_etc_iot,"New Delhi: Global automation solutions provider Siemens launched digital solutions for post-COVID-19 workplaces with an aim to ensure social distancing and other safety measures.The company said firms are facing new challenges as they resume normal operations affected by the COVID-19 pandemic. As part of their preparation for the new normal, they must consider additional dimensions of employee safety and measures that address physical distancing requirements.","Siemens launches digital solutions for workplaces, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/76763292?utm_source=RSS&utm_medium=ETRSS
"New Delhi: Researchers have developed an Internet of things IoT ) device for soap dispensers which they say can ensure that people wash their hands properly for over 20 seconds as per the World Health Organization guidelines for COVID-19 . The device called ' 20Sec4Life ' will glow, beep and play a musical tone for more than 20 seconds to help people disinfect their hands properly, according to the researchers from Lovely Professional University (LPU) in Punjab.The splash-proof device can be mounted on any liquid soap dispenser and operates using a battery, they said.According to WHO, promoting good hand hygiene is one of the most basic yet powerful tools that countries must leverage to reduce the spread of COVID-19.The new device can help combat the growing number of cases of COVID 19, which in many cases spread due to negligence in observing the 20 seconds hand wash rule, the researchers said.""COVID 19 is spreading rapidly and one of the reasons for this is improper hygiene habits. For most people, it is difficult to keep a track of time while washing hands,"" Prabin Kumar Das, a B. Tech student of Electronics Communication and Engineering at LPU, told .Das and his team developed the device prototypes with four variants, including an advanced model that offers step by step hand-washing instructions in vernacular languages to ensure proper cleaning.The base device is triggered and starts playing music for over 20 seconds when the nozzle of the handwash is pressed to dispense soap.The advanced version of the IoT device can be connected via Wi-Fi network and can be paired and operated through a mobile app.The Internet of things (IoT) is a system of interrelated computing devices with the ability to transfer data over a network without requiring human-to-human or human-to-computer interaction.The expected selling price of the base model post commercialisation is expected to be Rs. 70 per unit, the researchers said.""We all are in a hurry and do not realise that we have failed to completely disinfect ourselves by not washing our hands for the prescribed duration of 20 seconds,"" Das, who developed the device with his colleagues at LPU, said.""Therefore, we have come up with a simple solution in the form of 20Sec4Life which will enable people to abide by the prescribed timelines for washing hands,"" he added.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-76687660,imgsize-105432,width-800,height-434,overlay-etcio/covid-19-novel-iot-device-may-help-people-clean-hands-properly.jpg",cio_etc_iot,"New Delhi: Researchers have developed an Internet of things IoT ) device for soap dispensers which they say can ensure that people wash their hands properly for over 20 seconds as per the World Health Organization guidelines for COVID-19 . The device called ' 20Sec4Life ' will glow, beep and play a musical tone for more than 20 seconds to help people disinfect their hands properly, according to the researchers from Lovely Professional University (LPU) in Punjab.The splash-proof device can be mounted on any liquid soap dispenser and operates using a battery, they said.According to WHO, promoting good hand hygiene is one of the most basic yet powerful tools that countries must leverage to reduce the spread of COVID-19.The new device can help combat the growing number of cases of COVID 19, which in many cases spread due to negligence in observing the 20 seconds hand wash rule, the researchers said.","COVID-19: Novel IoT device may help people clean hands properly, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/76687660?utm_source=RSS&utm_medium=ETRSS
"In the last five years, there have been 5000 patents filed in India as compared to 1000 in the previous five years, a study has revealed.According to a report titled, IoT : Driving the Patent Growth Story in India, by the National Association of Software and Services Companies (NASSCOM), there have been about 6,000 IoT Patents filed in India from 2009-2019 of which over 5,000 were filed in the last five years.According to the report, while 70% of patents came from multinationals, 7% came from startups and 95% of IoT patents relate to hardware components. Around 60% of patents were filed by electronic manufacturers and 13% by IT-ITeS companies. Of all the IoT patents filed, 40% filed have been granted.Debjani Ghosh, President, NASSCOM, said, “Emerging technologies such as IoT, AI, Blockchain and others are playing a crucial role in enabling an interconnected world as well as creating the new-normal."" She added that IoT innovation specially with focus in healthcare and manufacturing will gain more impetus in the tech enabled new normal.Over 70% of the total patents filed in India were from R&D centers of global companies, Indian companies and start-ups accounted for about 7% of patents. 95% of IoT patents relate to hardware components with connectivity network and sensors being the leading sub-technologies.In terms of applications areas, patents pertaining to Smart Electrical Appliances and Smart Wearables lead in the Home Automation category. Disaster Prevention is one of the key areas which can use IoT in assisting epidemiologists to trace patient zero and the affected contacts by overlaying geographic information system on IoT mobile data. Smart cellular wrist bands can also help in effective quarantine compliance.Patent filing will also see an increase in the coming years primarily driven by Healthcare, Automation, Manufacturing and Supply Chain, 5G and Security systems. IoT innovation will help countries rebound in the Post-COVID era, with an increased focus in healthcare and hygiene.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-76218166,imgsize-560387,width-800,height-434,overlay-etcio/5000-iot-patents-filed-in-india-in-5-years-mncs-account-for-70-share-of-indian-companies-low-at-7.jpg",cio_etc_iot,"In the last five years, there have been 5000 patents filed in India as compared to 1000 in the previous five years, a study has revealed.According to a report titled, IoT : Driving the Patent Growth Story in India, by the National Association of Software and Services Companies (NASSCOM), there have been about 6,000 IoT Patents filed in India from 2009-2019 of which over 5,000 were filed in the last five years.According to the report, while 70% of patents came from multinationals, 7% came from startups and 95% of IoT patents relate to hardware components. Around 60% of patents were filed by electronic manufacturers and 13% by IT-ITeS companies.","5000 IoT patents filed in India in 5 years; MNCs account for 70%, share of Indian companies low at 7%, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/76218166?utm_source=RSS&utm_medium=ETRSS
"Accept the updated privacy & cookie policy

Dear user,



ET CIO privacy and cookie policy has been updated to align with the new data regulations in European Union. Please review and accept these changes below to continue using the website.



You can see our privacy policy & our cookie policy. We use cookies to ensure the best experience for you on our website.



If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET CIO.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-76134691,imgsize-208805,width-800,height-434,overlay-etcio/senra-blooms-with-incana-their-online-iot-marketplace.jpg",cio_etc_iot,"Accept the updated privacy & cookie policy

Dear user,



ET CIO privacy and cookie policy has been updated to align with the new data regulations in European Union. Please review and accept these changes below to continue using the website.","SenRa blooms with Incana, their online IoT Marketplace, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/76134691?utm_source=RSS&utm_medium=ETRSS
"New Delhi: The disruption that Covid-19 has brought about will trigger a boom in the market for Internet of Things , or connected technologies, say industry executives and analysts. They add that companies such as Infosys , Tata Communications, ThoughtWorks, Citius Tech and Hero Electronics are betting on these opportunities. IoT has always existed as an automation tool but this disruption will enhance adoption of IoT just like it did for collaborative virtual meeting platforms,” said Alok Bhardiya, head ( IoT Business Unit ), Tata Communications.First, there was a dip. “The cellular-based IoT market is expected to have a YoY decline of 4.4% by end of CY2020,” said Apalak Ghosh, industry manager for digital transformation at market research and analysis firm Frost & Sullivan. He, however, expects the market to start reviving from 2021 and post as much as 22% growth the following year.Restaurants may have to attest to food quality in real time, said Selvakumar Natesan, the lead IoT tech consultant at ThoughtWorks. That should create a market for portable food sample analysers that give instant reports.Automatic disinfectants as well as air quality and cleanliness indicators would be needed in hotels, gyms and movie halls. Municipalities may also start deploying smart meters.Technology could be leveraged for remote monitoring, preventing failure of critical equipment, and disease prediction and diagnosis, said Sridhar Turaga, CitiusTech’s senior vice president for data science. There will likely be higher demand for wearable health devices and air quality and blood oxygen monitors.“There is an expectation that a digital health passport will become mandatory for train and public transportation,” ThoughtWork’s Natesan said.Automation will be crucial for scaling production up and down according to short term demand fluctuations and also for adaptive manufacturing — for instance when ventilators are manufactured at an automobile plant, said Ravi Aggarwal, vice-president, Automation Industry Association, which represents the likes of Siemens, Larsen & Toubro, Mitsubishi and Rockwell Automation.Infosys expects Covid-19 to lead to higher digitisation in manufacturing.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-76128118,imgsize-609857,width-800,height-434,overlay-etcio/covid-19-disruption-creates-market-boom-for-iot-connected-tech.jpg",cio_etc_iot,"New Delhi: The disruption that Covid-19 has brought about will trigger a boom in the market for Internet of Things , or connected technologies, say industry executives and analysts. They add that companies such as Infosys , Tata Communications, ThoughtWorks, Citius Tech and Hero Electronics are betting on these opportunities.","Covid-19 disruption creates market boom for IoT, connected tech, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/76128118?utm_source=RSS&utm_medium=ETRSS
"India is currently in the middle of one of the biggest lockdowns in history. While businesses prepared for remote work facilities in the first half, now the focus should be on post lockdown preparation. As a new normal takes over, India Inc and IT leaders need to implement lessons learnt from Covid-19 ’s impact. And manufacturing CIOs are no different. Maitrey Modha , CTO- AMEA & ANZ, CNH Industrial has this thought out and gives some important advice for vendors and his peers alike. Post lockdown manufacturing will have to ramp up capacity with multiple shifts, probably 24/7, to make up for the loss. And it has to be done over a period of 6-8 months. Modha opines that IT leaders should start evaluation of what all can be done remotely and what all can be automated.“Right from the incoming raw material, sorting and putting it in the respective warehouse, analysis of automatic picking and replenishing to the manufacturing line, pre-dispatch to final inspection of the product needs to be automated. Which would mean that many of the IoT companies would need to come up with customized solutions based on each type of manufacturing process,” Modha said.It isn’t one standard set of tools to be implemented for everyone, but based on the type of manufacturing vendors would have to think of possible solutions for each of the processes and integrate those together to achieve end to end automation , Modha adds.While Modha says automating should be done at large scale, robotics will come into play. “IoT would need to automate to such an extent that the replenishment of material happens through the automated algorithms and the equipment that are used for logistics are enabled with remote working capability and the replenishment of parts happens through the warehouse to line. From the line the robots would automatically continue the assembly,” he said.This has to have an added level of automation and AI. “You are able to do visual inspection over the remote. It would not be completely automated but it would be a mix of remote visualization and remote controlling using these tools and technologies,” Modha added.While Modha narrates lessons for the future he also reveals the BCP at CNH Industrial for seamless operations. Modha and team could provide a work around for product development.To enable remote work, the team first assessed employees using high end desktops and workstations.“We enabled remote desktop access with a secure tool, where through the user's address one can authenticate for the first time, download the signature on a personal PC. One can then log into the workstation from a personal PC and open internet,” Modha said.Modha also claims cloud to be of prime importance at this point. “All the office automation tools are currently utilized from the cloud as on premise infrastructure is not capable of end-to-end work from home solution. So the cloud is of prominence today as internet providers are at their highest capacity now,” he said.Covid-19 and the subsequent lockdown to curb the spread has impacted India Inc in an unprecedented way. Primarily the budgets of any organization are being examined. Modha says, “I foresee a lot of budget cuts and a lot of projects getting postponed to the end of the year or next year. Some might even completely get cancelled.” But the silver lining he believes will be more spending on cloud adoption and implementation, on automation, and enabling remote work.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-75340437,imgsize-47289,width-800,height-434,overlay-etcio/post-lockdown-prep-a-manufacturing-cio-s-message-to-vendors-on-iot-solutions.jpg",cio_etc_iot,"India is currently in the middle of one of the biggest lockdowns in history. While businesses prepared for remote work facilities in the first half, now the focus should be on post lockdown preparation.","lockdown: Post lockdown prep: A manufacturing CIO’s message to vendors on IoT solutions, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/75340437?utm_source=RSS&utm_medium=ETRSS
"Accept the updated privacy & cookie policy

Dear user,



ET CIO privacy and cookie policy has been updated to align with the new data regulations in European Union. Please review and accept these changes below to continue using the website.



You can see our privacy policy & our cookie policy. We use cookies to ensure the best experience for you on our website.



If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET CIO.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-75120937,imgsize-344252,width-800,height-434,overlay-etcio/senra-launched-new-analytics-platform-to-manage-iot-devices.jpg",cio_etc_iot,"Accept the updated privacy & cookie policy

Dear user,



ET CIO privacy and cookie policy has been updated to align with the new data regulations in European Union. Please review and accept these changes below to continue using the website.","SenRa launched new analytics platform to manage IoT devices, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/75120937?utm_source=RSS&utm_medium=ETRSS
"By Jaganathan Chelliah Video security is not what it used to be. The data-driven tech revolution that has swept across the industrial landscape has also transformed the video security sector, leaving both visible and invisible changes. One of the clearly visible changes has been the rapid evolution of camera devices.The days of fixed type cameras have long given way to a vast range of sophisticated equipment -- pan-tilt-zoom cameras, which can follow a target across the scene, change angles and even zoom in on a face; thermal imaging cameras for 24x7 security, from bright light to dark nights;body-worn cameras used by security personnel, army and police personnel; drone cameras used in a multitude of applications from wedding photography to border security; licence plate recognition cameras that can identify and flag traffic violations; and many more.An even greater impact on the security video industry has been the advent of internet protocol (IP) cameras or connected cameras. These cameras stream data (either continuously or motion triggered) to cloud servers. The opportunities presented by this high level of data generation have led to significant shifts in the video security field.When it comes to security, time itself can be the enemy. Security considerations call for real time analysis of the video data and that is what smart cameras deliver. The camera ‘understands’ the scene and takes action. If it’s an intruder, the camera is able to zoom to capture more detailed footage.If it’s a thermal hotspot in an unoccupied plant, the camera triggers a fire alarm. Smart security cameras do more than stream a static video feed; they are connected to sensors, they have embedded intelligence and storage, and even processing capability within the device itself. In addition, these devices enable a rich stream of video data that can be used in real-time for valuable and actionable insights.This level of real-time computing calls for a blended architecture where the data goes through both cloud-based as well Edge-based analytics. (Edge-based analytics refers to the process of analysing data at the device level or the edge of the network.) Edge-based analytics on the security feed can help counter the issue of latency and enable rapid responses. Deep learning and AI technologies have improved the capabilities of video security systems and allowing them to become exceptionally intelligent.AI-based systems enable cameras to store and process data based on pattern recognition of specific shapes, colours, sounds, vibrations, temperature, chemicals, pressure and so on. Here the role of data becomes critical. Data that is captured at the ‘edge’ is called fast data as it enables faster analytics. Facial recognition in smartphones, pattern recognition in autonomous vehicles, these are some of the contemporary usages of fast data and video data analytics.Smart security video cameras generate a huge amount of fast data and need to be supported with embedded storage and data processing. Such advanced security video solutions require specialised storage that delivers high data access speed with enhanced durability.What you see is what you get. That is why the demand for advanced image analytics has led to an increasing trend towards HD and Ultra High Definition (UHD) video formats. The efficient use of AI-based analytics for pattern recognition demands a higher level of resolution, which is made possible by UHD. This in turn has an impact on the design and architecture of the data storage infrastructure and the network capability to stream such high quantum of data. UHD video requires higher storage capabilities at device, platform and server levels.Although security is still the most common end-use of video security, the technology is being increasingly used to gain competitive advantages in business. Retail enterprises, for instance, can analyse data from video streams for insights on consumer browsing and purchase behaviours. This is a rich and minable stream of data that can be leveraged to help enhance the retail experience. In industries such as manufacturing and healthcare, image recognition cameras can help maintain operational control, for instance, by motion-triggered cameras that identify movement in restricted areas. In urban transportation, smart cameras can help identify incidents and aid in improving the flow of traffic or pedestrians, thus keeping city streets safer.While all of the above trends are spurring the widening rollout of security video systems, the trend of increasingly tighter privacy norms urges a nuanced and thoughtful approach to such rollouts. New regulations and increasing advocacy for data privacy will be a key determinant in how corporations use, store and manage the reams of data that stream from video security systems. The debate around ‘Big Brother’ type scenarios will continue until there is a common rationale and playbook for managing cyber privacy and continued security.IP cameras, AI-based recognition systems, smart security video networks, all of these have led to a paradigm shift in the architecture of security video systems. At the heart of it all is the data capability. Data storage devices form the backbone of such smart security systems, where they are supposed to reliably enable non-stop recording for years. The capability to stream, store and analyse the data, and leverage the data assets for optimal efficiencies is what will deliver actionable insights on video data. With the quantum of data in video feeds increasing exponentially, companies will need to build in big data infrastructure so that the security systems deliver the required impact in a seamless, cost-effective manner.The author is Director, Marketing, Western Digital IndiaDISCLAIMER: The views expressed are solely of the author and ETCIO.com does not necessarily subscribe to it. ETCIO.com shall not be responsible for any damage caused to any person/organisation directly or indirectly.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-74586761,imgsize-93757,width-800,height-434,overlay-etcio/designing-for-the-edge-the-smart-in-smart-video-security-systems.jpg",cio_etc_iot,"By Jaganathan Chelliah Video security is not what it used to be. The data-driven tech revolution that has swept across the industrial landscape has also transformed the video security sector, leaving both visible and invisible changes.","Designing for the edge – The ‘smart’ in smart video security systems, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/74586761?utm_source=RSS&utm_medium=ETRSS
"Accept the updated privacy & cookie policy

Dear user,



ET CIO privacy and cookie policy has been updated to align with the new data regulations in European Union. Please review and accept these changes below to continue using the website.



You can see our privacy policy & our cookie policy. We use cookies to ensure the best experience for you on our website.



If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET CIO.",2020-07-21,"https://etimg.etb2bimg.com/thumb/msid-74521889,imgsize-299728,width-800,height-434,overlay-etcio/iot-tech-firm-singularity-automation-raises-rs-8-5-crore-funding.jpg",cio_etc_iot,"Accept the updated privacy & cookie policy

Dear user,



ET CIO privacy and cookie policy has been updated to align with the new data regulations in European Union. Please review and accept these changes below to continue using the website.","IoT: IoT tech firm Singularity Automation raises Rs 8.5 crore funding, IT News, ET CIO",https://cio.economictimes.indiatimes.com/news/internet-of-things/74521889?utm_source=RSS&utm_medium=ETRSS
