content,date,img,source,title,url
"India has identified at least four Chinese companies in India including Huawei that have connections with the People’s Liberation Army (PLA) and have been sharing crucial intel with it, India Today has reported.

According to the report, a 2017 Chinese Intelligence Law empowers government authorities to conduct raid on suspects while companies like Huawei, ZTE and TikTok provide intelligence for such raids. The companies are reportedly obliged to share information and cooperate with Chinese intel agencies irrespective of where they operate from.

""Any organisation or citizen shall support, assist and cooperate with the state intelligence work in accordance with the law. The state protects individuals and organisations that support, assist and cooperate with national intelligence work,"" Article 7 of the law reads.

The four identified companies are -- Xindia Steels, Xinxing Cathay International Group, China Electronics Technology Group Corporation (CETC), and Huawei.

The development comes weeks after Indian government banned 59 China-based apps that could be potential threat to nation's security and data.

Xindia Steels is a joint venture between India and China and has recently established an iron ore pelletisation unit in Karnataka.

Xinxing Cathay International Group, which is the main shareholder in Xindia Steels, also has its own manufacturing plant in Chhattisgarh.

While mobile phone giant Huawei has large sales operations in India, the CETC is going to invest $46 million in a 200 megawatt PV facility in Andhra Pradesh.

It is worth mentioning an interesting piece of information, that Huawei's founder Ren Zhengfei was earlier a deputy director of the PLA's engineering corps. The CETC too has been a major military electronics maker for the PLA.",2020-07-21,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Swarajya,Four Chinese Companies In India May Be Sharing Intel With PLA; Centre Traces Links With Chinese Military,https://swarajyamag.com/insta/four-chinese-companies-in-india-may-be-sharing-intel-with-pla-centre-traces-links-with-chinese-military
"Intel Technology India Private Ltd is hiring CA qualifiers for the role of Finance Manager at their Bangalore location. Candidates with 5 to 8 years of experience are required.

Intel Technology India Private Ltd focuses on creating innovative products that advance the next generation of technology. Intel with its strong technology heritage provides an opportunity to work on cutting-edge technology, pushing the boundaries of innovation and transforming the way people live and work.

Job Descriptions

Finance manager within the India Accounting team.

Reports to India Accounting Manager who in turn reports to GAR accounting Controller.

India’s accounting team is responsible for preparing local GAAP financials & ensuring local compliance.

Responsibilities

People management; driving liquidation of dormant entities; projects aimed at bringing efficiency into local GAAP reporting; working on projects having a far-reaching impact(global process impact, etc.,).

Complex problem solving; dealing with ambiguity; working with diverse teams is part of the job.

An ideal fit if ‘automation’ excites you. The team is currently working towards system deployment for local GAAP financials & several other automation opportunities.

Qualifications

The applicant should be a qualified Chartered Accountant or equivalent.

People management experience is a pre-requisite.

Strong communication skills & broad industry experience is preferred.

For further details, click here",2020-07-21,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",taxscan.in,Finance Manager vacancy in Intel,https://www.taxscan.in/finance-manager-vacancy-in-intel/64135/
