source,url,date,title,img,summary,Prediction,Probability,Content
BBC News,https://www.bbc.com/news/business-53426791,1 day ago,Ambani: Google latest US tech giant to invest in India's Jio,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The investment arms of US technology giants Intel and Qualcomm have also bought smaller smaller stakes in the company. Presentational grey ...,industry,0.5268830199394834,The investment arms of US technology giants Intel and Qualcomm have also bought smaller smaller stakes in the company. Presentational grey ...
The Indian Express,https://indianexpress.com/article/explained/explained-amid-china-chill-us-tech-giants-warm-up-to-jio-6507969/,1 day ago,"Explained: Amid China chill, US tech giants warm up to Jio","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Explained: Amid China chill, US tech giants warm up to Jio ... investments made in India's technology sector in the whole of 2019, which stood at ... Google for building an Android-based smartphone operating system; and Intel ...",other,0.3542950819944886,"Explained: Amid China chill, US tech giants warm up to Jio ... investments made in India's technology sector in the whole of 2019, which stood at ... Google for building an Android-based smartphone operating system; and Intel ..."
Forbes,https://www.forbes.com/sites/meghabahree/2020/07/15/google-joins-facebook-in-billionaire-mukesh-ambanis-jio-juggernaut/,1 day ago,Google Joins Facebook In Billionaire Mukesh Ambani's Jio Juggernaut,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Google is the 14th investor looking to get a piece of India's hottest digital ... Intel Capital and Qualcomm Ventures, the investment arms of tech ...",industry,0.40411188328166564,"Google is the 14th investor looking to get a piece of India's hottest digital ... Intel Capital and Qualcomm Ventures, the investment arms of tech ..."
TechCrunch,https://techcrunch.com/2020/07/02/intel-to-invest-253-5-million-in-indias-reliance-jio-platforms/,2 weeks ago,Intel to invest $253.5 million in India’s Reliance Jio Platforms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",... to bring the power of low-cost digital services to India aligns with Intel's purpose of delivering breakthrough technology that enriches lives.,industry,0.43509986668023715,... to bring the power of low-cost digital services to India aligns with Intel's purpose of delivering breakthrough technology that enriches lives.
CNBC,https://www.cnbc.com/2020/07/03/intel-jio-platforms-investment.html,2 weeks ago,"Intel to invest in Jio Platforms, after Facebook's $5.7 billion bet on the Indian telco","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Technology research analyst Neil Shah wrote on Twitter that Intel's investment will help ensure India's “5G network has a healthy share of Intel ...,telecom,0.6274419095905492,Technology research analyst Neil Shah wrote on Twitter that Intel's investment will help ensure India's “5G network has a healthy share of Intel ...
Economic Times,https://economictimes.indiatimes.com/tech/internet/intel-capital-invests-rs-1894-crore-in-jio-platforms/articleshow/76761879.cms,2 weeks ago,"Intel Capital writes a Rs 1,894-crore cheque to become the 11th investor in Jio Platforms","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Intel Capital, the investment arm of global tech and semiconductor major ... with technology leaders that embody our vision of transforming India ...",industry,0.5880902468715854,"Intel Capital, the investment arm of global tech and semiconductor major ... with technology leaders that embody our vision of transforming India ..."
Financial Express,https://www.financialexpress.com/opinion/google-the-benefits-govt-role-critical-for-india-to-benefit-from-google-plans/2026578/,10 hours ago,Google the benefits: Govt role critical for India to benefit from Google plans,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Google the benefits: Govt role critical for India to benefit from Google plans ... both in terms of policymaking as well as in the adoption of technology. ... their centres in India—firms like Qualcomm, Texas Instruments and Intel ...",other,0.3024005401670367,"Google the benefits: Govt role critical for India to benefit from Google plans ... both in terms of policymaking as well as in the adoption of technology. ... their centres in India—firms like Qualcomm, Texas Instruments and Intel ..."
CGTN,https://news.cgtn.com/news/2020-07-17/U-S-companies-expansion-in-Indian-Reliance-Jio-Platforms-Sbdco6Yr2o/index.html,10 hours ago,U.S. companies' expansion in Indian Reliance Jio Platforms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This operation allows the multinational tech company to join Facebook, Qualcomm, Intel and other entities in the circle of strategic partners of ...",other,0.28943551575443166,"This operation allows the multinational tech company to join Facebook, Qualcomm, Intel and other entities in the circle of strategic partners of ..."
BW Businessworld,http://www.businessworld.in/article/Digital-Readiness-No-Longer-Optional-Nivruti-Rai-Country-Head-Intel-India-VP-Data-Platforms-Group-Intel-Corporation/03-07-2020-293698,2 weeks ago,"Digital Readiness No Longer Optional: Nivruti Rai, Country Head, Intel India & VP, Data Platforms Group, Intel Corporation","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","'Be ready for a future defined by an unprecedented reliance on technology,' cautions the Country Head, Intel India & Vice President, Data ...",telecom,0.6334417340003294,"'Be ready for a future defined by an unprecedented reliance on technology,' cautions the Country Head, Intel India & Vice President, Data ..."
Capacity Media,https://www.capacitymedia.com/articles/3825877/intel-capital-latest-to-back-indias-digital-future,1 week ago,Intel Capital latest backer for India's digital future,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",We are therefore excited to work together with Intel to advance India's capabilities in cutting-edge technologies that will empower all sectors of ...,industry,0.6234269116322741,We are therefore excited to work together with Intel to advance India's capabilities in cutting-edge technologies that will empower all sectors of ...
