Id,Text,Category
1,"Telecom service provider Bharti Airtel has taken a 10% stake in Voicezen,an early stage startup focused on conversational AI technologies. The stake purchase has been made by the company under its Airtel Startup Accelerator Program. It’s an all-cash deal.Gurgaon-based Voicezen has been working on developing solutions that leverage machine learning, artificial intelligence (AI), speech-to-text and voice technologies to offer real-time analytics to help brands serve customers better.In a press statement, Airtel said that the investment will give it preferred access to Voicezen’s technologies, which can be deployed across its customer touch points in multiple languages. Airtel claims that these solutions will offer real-time analytics and insights to make its conversations with its customers more engaging and frictionless and enable faster resolution. The company also sees this helping it to make contextual offers to customers based on real time conversations. Voicezen is the third startup to become a part of the Airtel Startup Accelerator Program.""AI is a big focus area for Airtel given the deep positive impact the technology can have in transforming customer experience.Voicezen has built some promising products that are very relevant for a market like India. We look forward to partnering them in scaling these innovative 'Made in India, for India' applications,"" Adarsh Nair, Chief Product Officer - Bharti Airtel said.",ai
2,"Founded in 2018 by Jitesh Dadlani and Sandip Singh, Ishitva uses deep-tech such as artificial intelligence (AI), machine learning (ML), and IoT to effectively segregate waste to recover recyclables, thus creating circular economy. In an interview with YourStory, the founders said that the startup's proprietary device’s automatic sorting system helps improve both quantity, as well as the quality of recycling activities. This in turn, reduces dumping and burning of dry waste such as scraps, paper, plastics films, bags, containers, and plastic bottles etc.Ishitva’s machine uses AI, robotics, and ML to decipher the composition of waste, and sort them into various categories under recyclables and non-recyclable labels.Ishitva currently offers a range of solutions including SUKA (AI-powered air sorting), YUTA, (AI-powered robotic sorting), Netra AI Vision system, which helps identify waste, and smart bins. The AI-powered Netra identifies the waste, learns about its contents by capturing images, and then scans for recyclable material.",ai
3,"SirionLabs, which provides artificial intelligence technology to companies such as Vodafone, Unilever and Credit Suisse to manage millions of contracts, has raised $44 million in a Series C funding round led by Tiger Global and Avatar Growth Capital. The round brings the valuation of the Gurugram-based company to about $300 million, according to sources.SirionLabs, an AI-powered contract lifecycle management (CLM) platform said the new capital would be used to enhance engineering capabilities to fuel technology innovation and grow sales. The company also announced the launch of its new Seattle-based Technology CentrE and the growth of its leadership team. SirionLabs has received the investment at a time when startups are facing a delay or find it challenging to raise funding from investors due to the dwindling economic activity owing to the Covid-19 lockdown in multiple countries.“The reason why we did a deal today is that after January, the interest in the company really went through the roof. We had reached a certain level of scale and had crossed the $20 million mark in revenue,” said Ajay Agrawal, co-founder, chairman and CEO of SirionLabs. “But much more importantly, I think after Covid hit, there was a flight to quality, and all the major Tier-1 investors started focusing on a smaller group of companies where the growth and growth prospects were very clear,” said Agrawal.",ai
4,"In a bid to raise awareness on its products namely FASTag, RuPay, UPI, AePS on real-time basis, National Payments Corporation of India (NPCI) has launched an Artificial Intelligence-based Chatbot PAi.NPCI is the umbrella authority to handle the retail payments like UPI, RuPay etc.PAi will assist the users in informing accurate information of NPCI products in English and Hindi through text or voice on the websites of NPCI, RuPay and UPI Chalega.PAi will also be addressing queries pertaining to global RuPay Cardholders.“We are glad to unveil AI-powered Pai for our users. In this fast-paced world, addressing user queries is the need of the hour. We believe PAi will create entirely new user experiences that are as natural and easy as conversations, help users know about our products and in-turn promote digital payments.” said, Kunal Kalawatia, Chief of Marketing, NPCI.PAi is developed by Bengaluru based start-up CoRover Private Limited whose AI/ML-powered NLP chatbot technology is used by more than 20 crore consumers across businesses.Ankush Sabharwal, Founder & CEO, CoRover said, “As the world changes, Conversational AI will be the core for business continuity and its seamless operations. Chatbots powered by conversational AI brings every customer closer to verified information on their digital payments.”",ai
5,"Eventila Technologies Pvt. Ltd, which operates artificial intelligence-based business photography firm Spyne, has raised funding as part of its pre-Series A round, it said in a statement on Monday.The investment in the Gurugram-based Spyne has been led by AngelList, with participation from the Smile Group. Angel investors also took part in the pre-Series A round, including Yatra chief operating officer Manish Amin, OYO chief technology officer Anil Goel, Sokrati chief executive officer Anubhav Sonthalia and To The New CEO Deepak Mittal.While Spyne did not disclose the amount of money it had raised in this round, a report in Inc42 cited company co-founder Sanjay Kumar saying that the startup had secured Rs 4.5 crore ($593,508 at current exchange rate).In its statement, the company said it will use the funding to enhance its technological infrastructure, especially its AI-driven image-editing suite.“We are looking to invest deeper in building the next set of computer vision and deep-tech applications solving complex use cases,” Kumar said, adding that the firm has partnered with over 2,500 photographers across 35 cities in the country.Separately, Goel said he was confident of his investment in Spyne because of its ability to achieve high-quality content production at industrial scale.The AI-based startup was launched by Kumar and Deepti Prasad in 2018. Kumar is an IIT-Kharagpur alumnus who has worked with several firms including Amazon, Yatra and OYO. Prasad is a Delhi School of Economics graduate who has worked with entities such as Genpact.Some of Spyne’s clients include Amazon, Snapdeal, BigBasket, and Yatra.",ai
6,"On May 1, 2020, the Indian Institutes of Technology (IIT) alumni council launched a COVID-19 test bus to carry out affordable and rapid testing in the dense urban areas of the city.The bus is an initiative by the C19 task force of IIT alumni council, health department of Municipal Corporation of Greater Mumbai (MCGM), and Krsnaa diagnostics. The bus, according to the official statement, will “ isolate doctors and facilitate large-scale testing during the monsoon.” “The IIT alumni council has taken a pro-active approach to supporting the Government’s efforts in fighting the COVID-19 challenge. We have acted swiftly and set-up the IIT C19 task force to channelize the energies of the global IIT alumni for this fight,” the official statement said.The COVID-19 test bus is based on “indigenous technology” and the “first vehicle of its kind in the world with onboard genetic testing, Artificial Intelligence (AI) based technology and contactless sample collection,” according to the official statement. “We first carry out a digital chest X-ray which is immediately transmitted via internet to doctors who use AI-powered technology to determine the probability of the person being COVID positive using a high, medium or low scale,” Muffazal Lakadawla, chief medical officer of the National Sports Club, said while explaining the standard operating procedures of the bus.""",ai
7,"Vernacular.ai, an AI-first SaaS business, announced today a Series A investment of $5.1 million, led by Exfinity Ventures and Kalaari Capital, AngelList, IAN Fund and LetsVenture also participated in the round. The fresh capital will be used to fund the company’s global expansion into Southeast Asia and the US, and towards R&D to further enhance its proprietary AI-based voice automation platform.Voice AI/Automation systems have a strong foothold in today’s market. This technology has enabled enterprises to accomplish routine tasks in a quick and simple fashion. One of the key areas that have been impacted by Artificial Intelligence is customer service. Innovative technologies such as Voice AI have already been deployed in enterprise contact centers and is rapidly moving these service-based operations towards higher operational efficiency.Sourabh Gupta, Co-Founder and CEO, at Vernacular.ai said, “As we evolve our voice AI platform – VIVA and expand into newer markets, we will continue to disrupt the legacy contact centre model. Over the last decade, businesses across industries have been competing to deliver a personalized experience and enhance customer engagement. Yet when it comes to resolving a simple customer service call, it can sometimes take over 15 minutes. Businesses are now waking up to the impact of these delays on their bottom lines, and are reviewing and future-proofing their contact centers. Our solution fits right in, and can help enterprises automate upto 80% of call center operations and provide a matchless experience. We are happy to see increased investor confidence in our model.”Founded in Bangalore, India, by two IIT Roorkee graduates, Sourabh Gupta and Akshay Deshraj, along with founding team members – Prateek Gupta, Pravendra Singh and Abhinav Tushar, Vernacular.ai is known for its state-of-the-art AI-based voice automation platform – VIVA – a unique product that helps accelerate engagement strategy, and utilize cutting-edge speech recognition and Natural Language Understanding (NLU) technology to provide superior customer experiences across diverse sectors.",ai
8,"IBM's latest offering IBM Watson AIOps, which deploys artificial intelligence to automate the way enterprises detect, diagnose and respond to IT anomalies in real time has a strong India footprint. There's also significant Indian contribution to the company's new suite of AI based application modernisation tools for cloud infrastructure.IBM research India played a lead role envisioning, researching and developing many of these AI-driven innovations in collaboration with other IBM Research labs in the US and Switzerland. Gargi Dasgupta, Director, IBM Research India and CTO, IBM India said these research-led products which are a core part of the company's strategy has been incubating for the past one year.IBM Watson AIOps aims to discover new patterns in IT operations, remove noise, correlate problems across multiple data sources and make recommendations to fix them. This will help IT companies cut costs incurred due to unpredictable outages and incidences.""The products looks at cloud native applications, how they are deployed, managed and bring intelligence when the application performance is deteriorating in a matter of seconds to respond,"" says Gargi.IBM's India research lab has multidisciplinary team of researchers specialising in AI, Software Engineering and Cloud Computing.LogicMonitor's 2019 IT Outage Impact Study, which surveyed over 300 IT decision makers said that despite best efforts of companies nearly 50% of outages and 47% of brownouts were unavoidable and 75% of the respondents said that performing preventative maintenance was the most important tactic.",ai
9,"New Delhi, The Indian Council of Medical Research (ICMR) has collaborated with tech giant IBM to bring its Artificial intelligence-powered Watson virtual assistant on its portal to respond to queries from front-line staff and data entry operators across the country on COVID-19.The virtual agent has been deployed on protected pages of the ICMR website that can be accessed only by authorized personnel who are involved with sample collection and testing in hospitals and diagnostic labs, IBM said in a statement on Monday.The queries could be related to nature and process of data to be captured by test labs, how to record inventory of test kits and reagents, process of reporting to various Government agencies and references to the latest guidance, in addition to responding to queries on COVID-19 in general.""It is critical to remain focused on testing, diagnosis and treatment in order to lower the growth curve. This collaboration with IBM will help automate responses from the field and facilitate access to accurate and updated data on COVID-19 diagnostics and reporting,"" said Professor Balram Bhargava, Director General, ICMR.""This will help augment our teams' response time and allow them to concentrate on priorities like developing, updating testing and treatment protocols and guidance for COVID-19,"" he added.The Watson virtual agent is able to understand and respond to common queries in English and Hindi from approved testing facilities for COVID-19 across India at scale, around the clock in a uniform and timely manner.",ai
10,"Tata Consultancy Services announced on Tuesday the launch an AI-powered, cloud-based solution to detect wafer anomaly in semiconductor manufacturing. TCS WaferWise automatically detects defects, improves product quality, drives up throughput, and enhances business growth, the company said in a statement.The solution harnesses the company's contextual knowledge of the semiconductor industry and the power of deep learning technology, to help chip makers digitally re-imagine their product quality assurance process, it said.Sophisticated quality inspection of wafers during the semiconductor manufacturing process is essential to detect and classify defects early and accurately, as well as improve quality, TCS said.Several companies still run manual inspections that rely heavily on human expertise.This makes the process prone to errors and limits manufacturing throughput.TCS WaferWise leverages custom AI models to automatically detect and classify anomalies by analysing nano-scale images generated during the semiconductor manufacturing process, it said.The solution runs on Google Cloud and utilises TCS Continuous Learning Platform to effectively sample different datasets across multiple manufacturing lines and automatically trigger learning when required, steadily enhancing the accuracy of the AI model, the statement said.",ai
11,"The government on Friday announced to postpone the nation's first summit on Artificial Intelligence (AI) that was scheduled to be held in the Capital in October amid the growing coronavirus (COVID-19) pandemic.Titled 'RAISE 2020 (Responsible AI for Social Empowerment 2020),' the summit on October 5-6 was announced as a global meeting of minds to exchange ideas and charter a course to use AI for social transformation, inclusion and empowerment in key areas like healthcare, agriculture, education and smart mobility, among other sectors.""The registrations are open for all participants and the process will remain the same as before. All AI startups are welcome to participate through the same procedure for the Startup Pitchfest,"" said Abhishek Singh, President and CEO, National e-Governance Division (NeGD), the Ministry of Electronics and Information Technology (MeitY).""The step to postpone the summit is a public health measure for containment and mitigation of the current COVID-19 outbreak,"" he added.The 'Startup Pitchfest' is a platform for startups to showcase their ideas for use of AI in accelerating social transformation, inclusion and empowerment.The summit aims to create a data-rich environment as India has the potential to be the world's leading AI laboratory that can eventually transform lives globally.",ai
12,"India may soon get a home-grown platform for Artificial Intelligence (AI). This platform will leverage and compile existing databases that are available with the government such as Aadhaar details, land records and soil health among others. Once setup, this platform can be accessed by companies to use AI-based technologies for different sectors such as healthcare and agriculture.""There will be a platform for AI which will ride on the databases that we have built in. For example, we do have Aadhaar database, we have a land records database, we have a soil health-card database, we have a weather database. And all these data, with regard to say farmers, is linked to geospatial coordinates. And then there is data from land records, the Aadhaar number of farmers and their mobile numbers. So, we will have all this data coming from various disparate data sources available on a common platform, and if this data is made available to AI developers, there is a possibility of building solutions which will guide the farmer to accomplish the best possible agriculture practices,"" Abhishek Singh, President and CEO of Digital India (National e-Governance Division (NeGD), Ministry of Electronics and IT (MeitY) and CEO, MyGov, said in an interview to Hindustan Times.",ai
13,"In the course of the two years, we have seen a consistent increment in the percentage of adoption of AI in India. Given the Indian government’s ongoing focus on building up a plan for artificial intelligence, it is recommended to apply strengths (deep analysis of AI applications and implications) to determine (a) the state of AI innovation in India, and (b) strategic insights to help India survive and thrive in a global market with the help of AI initiatives.Advances in artificial intelligence and data analytics are pushing development in numerous parts of the world. China, for instance, has committed $150 billion towards its objective of turning into a world chief by 2030. And while the United States government is putting just $1.1 billion in non-classified AI research, its private sector is burning through billions in fields from finance and healthcare to retail and defense. This is changing various segments.There is developing AI interest, however, as India begins to contribute extra resources and deploy new AI applications. This year, the national government has multiplied its investment in its innovation program known as Digital India to Rs 3,063 crore (or $477 million) so as to support progress in AI, machine learning and 3-D printing. The Ministry of Commerce and Industry has built up an AI taskforce to create strategies that encourage advancement in these zones. Its recent report underlined the requirement for more prominent investment, more AI research, patching up of school educational programs and extra advancement by the private segment.Similarly, like Google, Oracle, Microsoft, and Amazon are fighting to serve the cloud computing and machine learning needs of the US government, the following three to five years may lead to a similar dynamic within India. As the Indian government pushes for digitization and orders more AI activities, private firms will run to win huge agreements, adding to the pool of assets to grow new innovations and turn out new AI and data science-related new companies.Mayank Kapur, CTO of Indian AI startup Gramener, says that the legislature is as yet the biggest potential customer for data science services in the nation. Different experts have articulated that an ever-increasing number of Indian startups and built up tech firms are starting to execute AI in their products and services.Advanced programming enables health providers to evaluate symptoms, diagnose disease, and plan appropriate treatments. As indicated by writer Prakash Mallya, the healthcare industry is relying on AI to adjust the precision of medical predictions and pick a fitting line of treatment. AI is an approach to improve the quality of care while likewise containing clinical expenses. Past diagnosis and treatment, AI methods and ML algorithms can likewise adjust interventions in public health policy across the country",ai
14,"In the Healthcare industry, as the magnitude of data piles up, so does the necessity of Clinical Decision Support (CDS) Systems. With the rising trend of value-based healthcare, clinicians must have tools at their disposal that can help them sift through mountains of records that can sometimes date back to decades.According to a report, a third of deaths in the US are caused due to medical errors and inaccuracies. This justifies the need for deeper analysis and reporting of accessible data on the patient, with members of the healthcare community. Although one cannot eliminate these errors from the domain, having a system that minimizes these acts as a safety net. Hence CDS is a must for a paradigm shift in this industry.Since the 1980s when it was first used, it has quite evolved much. Now it is administered via Electronic Health Records (EHR) and computerized provider order entry (CPOE) systems. This has been made possible by increasing the global adoption of HER with advanced capabilities, e.g. FitBit. These systems comprise of 3 distinct parts: Base (pre-defined algorithms), Inference Engines (output is generated based on patient’s clinical data) and Communicator (where interaction is made with user/patient). The only challenge one can face here is poor implementation as it will lead to alarm fatigue and clinician burnout. While benefits encompass safety of patients, increased adherence to guidelines and care pathways, prevention of Drug-Drug Interactions (DDI) errors, cost containment by suggesting cheaper alternatives, support for clinical and diagnostic coding, imaging, ordering of procedures and tests, and patient triage, qualitative documentation, etc., certain barriers need to be addressed by stakeholders.",ai
15,"A fuel delivery startup, Pepfuels, delivers “quality fuel” to enterprises and industries at economical prices and has a total of 200-plus enterprise customers (a combined volume of 300,000-400,000L/mo), generating revenues of INR 2-3 crore (US$270,000 to US$400,000) per month.“We deliver fuel in the PESO (Petroleum and Explosives Safety Organization)-approved browsers, equipped with dispensing machines which are safe. We also conduct on-site quality and quantity check,” said co-founder Pratik Kathil. Pepfuel’s dispensers are equipped with in-built fire extinguishers. Its vehicles are also geo-fenced and equipped with GPS and fuel sensors.Through its app, customers can place their order by entering the vehicle type, selecting fuel quantity, choosing a delivery slot, and entering a shipping address. “We receive 100-plus orders through our app, and our turnaround time is three to four hours,” claims Kathil. Although the startup’s current delivery hours are between 8 am and 8 pm, there are plans to launch 24×7 delivery soon.A location-based fuel delivery system, was recently introduced by Pepfuels through its patented IoT-RFID (radio frequency identification)-based device to help industries, the farm sector, hotels and malls, save on fuel cost, time and prevent pilferage. Connected through the dispensing machine, the server -monitored reader is developed to provide accurate and theft-proof delivery, and to prevent fuel loss.",iot
